video,completion_frame,time,status,prob,peak_flow,baseline_flow,motion_ratio
training video 70 11-18.mp4,944,0:15:733,HIT,0.945,293.3671,163.6251,1.793
training video 70 11-18.mp4,1264,0:21:067,HIT,0.979,320.5378,163.6251,1.959
training video 70 11-18.mp4,1340,0:22:333,HIT,0.969,316.642,163.6251,1.935
training video 70 11-18.mp4,1366,0:22:767,HIT,0.612,316.642,163.6251,1.935
training video 70 11-18.mp4,1466,0:24:433,HIT,0.961,221.9813,163.6251,1.357
training video 70 11-18.mp4,1677,0:27:950,HIT,0.842,228.9814,163.6251,1.399
training video 70 11-18.mp4,1743,0:29:050,HIT,0.96,228.5885,163.6251,1.397
training video 70 11-18.mp4,2585,0:43:083,HIT,0.964,302.6295,163.6251,1.85
training video 70 11-18.mp4,2795,0:46:583,HIT,0.76,253.5181,163.6251,1.549
training video 70 11-18.mp4,3718,1:01:967,HIT,0.948,293.2581,163.6251,1.792
training video 70 11-18.mp4,4415,1:13:583,HIT,0.962,223.6269,163.6251,1.367
training video 70 11-18.mp4,4455,1:14:250,HIT,0.96,260.5724,163.6251,1.592
training video 70 11-18.mp4,4477,1:14:617,HIT,0.936,247.1254,163.6251,1.51
training video 70 11-18.mp4,4568,1:16:133,HIT,0.912,307.809,163.6251,1.881
training video 70 11-18.mp4,4667,1:17:783,HIT,0.94,223.8846,163.6251,1.368
training video 70 11-18.mp4,4686,1:18:100,HIT,0.927,207.8777,163.6251,1.27
training video 70 11-18.mp4,5058,1:24:300,HIT,0.945,256.3206,163.6251,1.567
training video 70 11-18.mp4,5259,1:27:650,HIT,0.957,225.0936,163.6251,1.376
training video 70 11-18.mp4,5678,1:34:633,HIT,0.982,278.7247,163.6251,1.703
training video 70 11-18.mp4,5734,1:35:567,HIT,0.942,251.1143,163.6251,1.535
training video 70 11-18.mp4,5836,1:37:267,HIT,0.934,238.3599,163.6251,1.457
training video 70 11-18.mp4,6809,1:53:483,HIT,0.966,189.8535,163.6251,1.16
training video 70 11-18.mp4,9472,2:37:867,HIT,0.973,292.3057,163.6251,1.786
